Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,22864.50,22859.50,8/1/2025 9:54:00 AM,8/1/2025 9:54:00 AM,NEX_Short,Profit target,$94.24,$94.24,$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
2,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,22841.50,22838.50,8/1/2025 10:05:00 AM,8/1/2025 10:05:00 AM,NEX_Long,Stop loss,($65.76),$28.48,$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
3,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,22904.50,22899.50,8/1/2025 10:13:00 AM,8/1/2025 10:13:00 AM,NEX_Short,Profit target,$94.24,$122.72,$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
4,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,22942.00,22945.00,8/1/2025 10:20:00 AM,8/1/2025 10:20:00 AM,NEX_Short,Stop loss,($65.76),$56.96,$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
5,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,22945.00,22948.00,8/1/2025 10:27:00 AM,8/1/2025 10:27:00 AM,NEX_Short,Stop loss,($65.76),($8.80),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
6,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,22902.00,22905.00,8/1/2025 11:33:00 AM,8/1/2025 11:33:00 AM,NEX_Short,Stop loss,($65.76),($74.56),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
7,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23012.00,23015.00,8/1/2025 12:03:00 PM,8/1/2025 12:03:00 PM,NEX_Short,Stop loss,($65.76),($140.32),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
8,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23023.50,23028.50,8/1/2025 12:26:00 PM,8/1/2025 12:26:00 PM,NEX_Long,Profit target,$94.24,($46.08),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
9,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23221.00,23218.00,8/4/2025 11:37:00 AM,8/4/2025 11:37:00 AM,NEX_Long,Stop loss,($65.76),($111.84),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
10,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23267.75,23270.75,8/4/2025 12:26:00 PM,8/4/2025 12:28:00 PM,NEX_Short,Stop loss,($65.76),($177.60),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$50.00,$115.76,3,
11,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23279.00,23282.00,8/4/2025 1:14:00 PM,8/4/2025 1:15:00 PM,NEX_Short,Stop loss,($65.76),($243.36),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$15.00,$80.76,2,
12,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23277.75,23280.75,8/4/2025 1:17:00 PM,8/4/2025 1:17:00 PM,NEX_Short,Stop loss,($65.76),($309.12),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
13,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23276.25,23279.25,8/4/2025 1:22:00 PM,8/4/2025 1:22:00 PM,NEX_Short,Stop loss,($65.76),($374.88),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
14,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23305.75,23308.75,8/5/2025 9:32:00 AM,8/5/2025 9:32:00 AM,NEX_Short,Stop loss,($65.76),($440.64),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
15,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23350.75,23353.75,8/5/2025 9:43:00 AM,8/5/2025 9:43:00 AM,NEX_Short,Stop loss,($65.76),($506.40),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
16,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23308.25,23311.25,8/5/2025 10:17:00 AM,8/5/2025 10:17:00 AM,NEX_Short,Stop loss,($65.76),($572.16),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
17,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23276.75,23281.75,8/5/2025 10:30:00 AM,8/5/2025 10:30:00 AM,NEX_Long,Profit target,$94.24,($477.92),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
18,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23148.50,23145.50,8/5/2025 10:52:00 AM,8/5/2025 10:52:00 AM,NEX_Long,Stop loss,($65.76),($543.68),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
19,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23196.50,23199.50,8/5/2025 11:06:00 AM,8/5/2025 11:06:00 AM,NEX_Short,Stop loss,($65.76),($609.44),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
20,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23186.00,23189.00,8/5/2025 11:23:00 AM,8/5/2025 11:23:00 AM,NEX_Short,Stop loss,($65.76),($675.20),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
21,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23197.75,23200.75,8/6/2025 9:35:00 AM,8/6/2025 9:35:00 AM,NEX_Short,Stop loss,($65.76),($740.96),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
22,NQ SEP25,Backtest,NEXAbsorptionFramework,Long,1,23162.50,23167.50,8/6/2025 9:43:00 AM,8/6/2025 9:43:00 AM,NEX_Long,Profit target,$94.24,($646.72),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
23,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23218.50,23213.50,8/6/2025 9:51:00 AM,8/6/2025 9:51:00 AM,NEX_Short,Profit target,$94.24,($552.48),$5.76,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$5.76,1,
24,NQ SEP25,Backtest,NEXAbsorptionFramework,Short,1,23215.75,23218.75,8/6/2025 9:57:00 AM,8/6/2025 9:57:00 AM,NEX_Short,Stop loss,($65.76),($618.24),$5.76,$0.00,$0.00,$0.00,$0.00,$60.00,$0.00,$65.76,1,
